Compound;InChIKey;SMILES;RT;LAB;DrugClass;1;2;3;4;5;Mean RT;SD;Error;Set;RT error window
1-(4-methylbenzyl) piperazine;RNAXUUAJNMDESG-UHFFFAOYSA-N;CC1=CC=C(C=C1)CN2CCNCC2;3.04;CFSRE;Piperazine derivates;3.37;4.30;4.06;3.58;2.92;3.65;0.55;0.61;Validation;0.5 to 1 min
1-Hydroxymidazolam;QHSMEGADRFZVNE-UHFFFAOYSA-N;C1C2=CN=C(N2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4F)CO;6.61;CFSRE;Unknown;6.62;6.39;6.80;6.64;6.63;6.62;0.15;0.01;Train;± 0.5 min
1P-LSD;JSMQOVGXBIDBIE-OXQOHEQNSA-N;C(C)N(C(=O)[C@H]1CN([C@@H]2CC=3C4=C(C2=C1)C=CC=C4N(C3)C(CC)=O)C)CC;6.49;CFSRE;Indolalkylamines;6.67;6.56;6.47;6.43;6.36;6.50;0.12;0.01;Train;± 0.5 min
2',5'-Dimethoxyfentanyl;SAQRGDVCSASPSH-UHFFFAOYSA-N;COC1=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=C(C=C1)OC;6.05;CFSRE;Opioids;6.18;6.21;6.17;6.10;6.00;6.14;0.08;0.09;Train;± 0.5 min
2'-Fluorofentanyl;HWUYTWQIMNJNNQ-UHFFFAOYSA-N;FC1=C(CCN2CCC(CC2)N(C(CC)=O)C2=CC=CC=C2)C=CC=C1;6.34;CFSRE;Opioids;6.22;6.35;6.43;6.41;6.33;6.35;0.08;0.01;Train;± 0.5 min
2-CDMC;MCNQZCHJBLFDHK-UHFFFAOYSA-N;ClC1=C(C=CC=C1)C(C(C)N(C)C)=O;4.01;CFSRE;Cathinones;4.76;4.69;4.84;4.96;4.53;4.76;0.16;0.75;Optimization;0.5 to 1 min
2-FA;GDSXNLDTQFFIEU-UHFFFAOYSA-N;CC(N)CC1=CC=CC=C1F;3.74;CFSRE;Phenethylamines;3.65;3.75;3.81;3.90;3.67;3.75;0.10;0.01;Train;± 0.5 min
2-Fluoro-JWH-019;RUJXGVGAOVOROW-UHFFFAOYSA-N;FC(CN1C=C(C2=CC=CC=C12)C(=O)C1=CC=CC2=CC=CC=C12)CCCC;10.32;CFSRE;Cannabinoids;10.44;10.19;10.50;10.43;10.24;10.36;0.14;0.04;Validation;± 0.5 min
2-Fluoroviminol;FXQMNNHPOYWWKI-UHFFFAOYSA-N;OC(C1=CC=CN1CC2=CC=CC=C2F)CN(C(CC)C)C(CC)C;7.06;CFSRE;Opioids;6.85;6.93;7.10;7.10;7.01;7.00;0.11;-0.06;Train;± 0.5 min
2-MMA;OEHAYUOVELTAPG-UHFFFAOYSA-N;CC(NC)CC1=CC=CC=C1OC;4.53;CFSRE;Phenethylamines;4.44;4.81;4.74;4.62;4.39;4.60;0.18;0.07;Train;± 0.5 min
2-Methyl AP-237;CRSFXYZFNAFVFC-YRNVUSSQSA-N;C(\C=C\C1=CC=CC=C1)N1CC(N(CC1)C(CCC)=O)C;5.61;CFSRE;Opioids;5.42;5.47;5.64;5.56;5.60;5.54;0.09;-0.07;Train;± 0.5 min
2-Naphthyl U-47700;YRZZSLYUFWBIIK-RTBURBONSA-N;CN([C@H]1[C@@H](CCCC1)N(C(=O)C1=CC2=CC=CC=C2C=C1)C)C;6.1;CFSRE;Opioids;5.81;5.91;5.86;6.06;5.93;5.92;0.09;-0.18;Test;± 0.5 min
2-fluoroethamphetamine;NIWYLNFSJJLYHU-UHFFFAOYSA-N;C(C)NC(CC1=C(C=CC=C1)F)C;4.5;CFSRE;Phenethylamines;4.25;4.45;4.51;4.59;4.39;4.44;0.13;-0.06;Train;± 0.5 min
25B-NBOH;RSUNJYKZRKIBNB-UHFFFAOYSA-N;OC1=CC=CC=C1CNCCC2=CC(OC)=C(Br)C=C2OC;6.67;CFSRE;Phenethylamines;6.73;6.72;6.58;6.64;6.53;6.64;0.09;-0.03;Train;± 0.5 min
25B-NBOMe;SUXGNJVVBGJEFB-UHFFFAOYSA-N;BrC1=CC(=C(C=C1OC)CCNCC1=C(C=CC=C1)OC)OC;7.14;CFSRE;Phenethylamines;7.12;6.98;6.83;6.91;6.92;6.95;0.11;-0.19;Test;± 0.5 min
25C-NBOH;VHWXICYYQMMZCW-UHFFFAOYSA-N;OC1=CC=CC=C1CNCCC2=CC(OC)=C(Cl)C=C2OC;6.48;CFSRE;Phenethylamines;6.55;6.57;6.40;6.49;6.35;6.47;0.09;-0.01;Train;± 0.5 min
25C-NBOMe;FJFPOGCVVLUYAQ-UHFFFAOYSA-N;ClC1=CC(=C(C=C1OC)CCNCC1=C(C=CC=C1)OC)OC;7;CFSRE;Phenethylamines;6.94;6.83;6.74;6.81;6.74;6.82;0.08;-0.18;Train;± 0.5 min
25D-NBOMe;UTVHBNXCFSATDB-UHFFFAOYSA-N;COC1=C(C=C(C(=C1)C)OC)CCNCC1=C(C=CC=C1)OC;7.04;CFSRE;Phenethylamines;6.90;6.86;6.85;6.82;6.76;6.84;0.05;-0.20;Train;± 0.5 min
25E-NBOH;SYBINTRPEZWFLZ-UHFFFAOYSA-N;C(C)C1=CC(=C(C=C1OC)CCNCC1=C(C=CC=C1)O)OC;7.09;CFSRE;Phenethylamines;7.13;7.09;7.07;6.93;7.03;7.05;0.07;-0.04;Train;± 0.5 min
25E-NBOMe;PXDVGFGXPVCNAB-UHFFFAOYSA-N;COC1=CC=CC=C1CNCCC2=CC(OC)=C(CC)C=C2OC;7.58;CFSRE;Phenethylamines;7.46;7.36;7.48;7.28;7.41;7.40;0.08;-0.18;Train;± 0.5 min
25H-NBOMe;RMLXCDMTGWSEOU-UHFFFAOYSA-N;COC1=C(C=C(C=C1)OC)CCNCC1=C(C=CC=C1)OC;6.45;CFSRE;Phenethylamines;6.21;6.27;6.16;6.23;6.03;6.18;0.10;-0.27;Test;± 0.5 min
25I-NBOMe;ZFUOLNAKPBFDIJ-UHFFFAOYSA-N;IC1=CC(=C(C=C1OC)CCNCC1=C(C=CC=C1)OC)OC;7.39;CFSRE;Phenethylamines;7.17;7.09;7.02;6.90;7.05;7.05;0.10;-0.34;Validation;± 0.5 min
25N-NBOMe;TXCKTIBHURMASQ-UHFFFAOYSA-N;COC1=CC=CC=C1CNCCC2=CC(OC)=C([N+]([O-])=O)C=C2OC;6.45;CFSRE;Phenethylamines;6.52;6.28;6.23;6.45;6.31;6.36;0.12;-0.09;Train;± 0.5 min
25T-NBOMe;ZWPIZVVOKGWMFW-UHFFFAOYSA-N;CSC1=CC(=C(C=C1OC)CCNCC1=C(C=CC=C1)OC)OC;6.91;CFSRE;Phenethylamines;7.14;6.98;7.02;7.02;6.94;7.02;0.07;0.11;Optimization;± 0.5 min
25T4-NBOMe;BOWHVFJVXBVJCU-UHFFFAOYSA-N;COC1=CC=CC=C1CNCCC2=CC(OC)=C(SC(C)C)C=C2OC;7.73;CFSRE;Phenethylamines;7.79;7.68;7.66;7.78;7.67;7.72;0.06;-0.01;Train;± 0.5 min
25T7-NBOMe;CPVMNHOHOSNFOP-UHFFFAOYSA-N;COC1=CC=CC=C1CNCCC2=CC(OC)=C(SCCC)C=C2OC;7.85;CFSRE;Phenethylamines;7.95;7.84;7.80;7.87;7.81;7.85;0.06;0.00;Test;± 0.5 min
2C-B;YMHOBZXQZVXHBM-UHFFFAOYSA-N;BrC1=CC(=C(C=C1OC)CCN)OC;5.36;CFSRE;Phenethylamines;5.26;5.60;5.22;5.33;5.03;5.29;0.21;-0.07;Test;± 0.5 min
2C-B-FLY;YZDFADGMVOSVIX-UHFFFAOYSA-N;BrC1=C2C(=C(C=3CCOC31)CCN)OCC2;5.5;CFSRE;Phenethylamines;5.21;5.55;5.25;5.33;5.09;5.29;0.17;-0.21;Train;± 0.5 min
2C-C;CGKQFIWIPSIVAS-UHFFFAOYSA-N;NCCC1=CC(OC)=C(Cl)C=C1OC;5.14;CFSRE;Phenethylamines;5.06;5.38;5.04;5.09;4.78;5.07;0.21;-0.07;Test;± 0.5 min
2C-D;UNQQFDCVEMVQHM-UHFFFAOYSA-N;NCCC1=CC(OC)=C(C)C=C1OC;5.12;CFSRE;Phenethylamines;4.81;5.13;4.84;4.84;4.59;4.84;0.19;-0.28;Train;± 0.5 min
2C-E;VDRGNAMREYBIHA-UHFFFAOYSA-N;C(C)C1=CC(=C(C=C1OC)CCN)OC;5.9;CFSRE;Phenethylamines;5.31;5.67;5.36;5.42;5.20;5.39;0.17;-0.51;Validation;-1 to -0.5 min
2C-G;NFOHGLKGLZIHJQ-UHFFFAOYSA-N;NCCC1=CC(OC)=C(C)C(C)=C1OC;5.66;CFSRE;Phenethylamines;5.39;5.76;5.43;5.52;5.30;5.48;0.18;-0.18;Validation;± 0.5 min
2C-H;WNCUVUUEJZEATP-UHFFFAOYSA-N;COC1=C(C=C(C=C1)OC)CCN;4.16;CFSRE;Phenethylamines;3.96;4.22;3.99;4.08;3.53;3.95;0.26;-0.21;Train;± 0.5 min
2C-I;PQHQBRJAAZQXHL-UHFFFAOYSA-N;COC1=C(I)C=C(OC)C(CCN)=C1;5.73;CFSRE;Phenethylamines;5.39;5.76;5.38;5.48;5.18;5.44;0.21;-0.29;Train;± 0.5 min
2C-N;ZMUSDZGRRJGRAO-UHFFFAOYSA-N;NCCC1=CC(OC)=C([N+]([O-])=O)C=C1OC;4.37;CFSRE;Phenethylamines;4.26;4.45;4.11;4.20;4.20;4.24;0.12;-0.13;Train;± 0.5 min
