Compound Name,SMILES,RT,Adj. RT,Abs Error
Putrescine,NCCCCN,0.779,0.759,0.02
Glyphosate,O=C(O)CNCP(=O)(O)O,0.784,0.583,0.201
Taurine,NCCS(=O)(=O)O,0.789,0.203,0.586
Atrazine-desethyldesisopropyl-2-hydroxy,Nc1nc(N)nc(O)n1,0.846,1.757,0.911
Morpholin,C1COCCN1,0.858,0.968,0.11
Cytosine,Nc1ccnc(=O)[nH]1,0.891,1.839,0.948
Carnitine,C[N+](C)(C)CC(O)CC(=O)[O-],0.931,1.655,0.724
Vigabatrin,C=CC(N)CCC(=O)O,0.95,1.155,0.205
Levodopa,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,0.962,2.796,1.834
Pyrazinoic acid,O=C(O)c1cnccn1,1.025,1.914,0.889
Ribavirine,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,1.037,0.293,0.744
GHB,O=C(O)CCCO,1.111,1.128,0.017
Flucytosine,Nc1nc(O)ncc1F,1.114,2.008,0.894
Dimethyldithiophosphate (DMDTP),COP(=S)(S)OC,1.119,2.951,1.832
Metformin,CN(C)C(=N)NC(=N)N,1.192,1.919,0.727
Dopamine,NCCc1ccc(O)c(O)c1,1.226,2.443,1.217
Trans trans muconic acid,O=C(O)/C=C/C=C/C(=O)O,1.233,0.676,0.557
Uridine,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,1.263,1.432,0.169
Nicotinic acid,O=C(O)c1cccnc1,1.34,2.645,1.305
Allopurinol,O=c1nc[nH]c2[nH]ncc12,1.472,2.722,1.25
5-fluorouridine,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1F,1.523,1.411,0.112
Ethylene-thiouree,S=C1NCCN1,1.59,1.004,0.586
Daminozide,CN(C)NC(=O)CCC(=O)O,1.591,1.484,0.107
Sulbactam,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,1.75,2.827,1.077
Hydroxytryptophan,O=C(O)C(Cc1c[nH]c2ccccc12)NO,1.758,2.865,1.107
Ecgonine methylester,COC(=O)[C@@H]1C2CCC(C[C@@H]1O)N2C,1.798,1.95,0.152
Amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,1.837,3.31,1.473
5-Chlorouracil,O=c1[nH]cc(Cl)c(=O)[nH]1,1.872,3.034,1.162
Ganciclovir,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,1.904,2.539,0.635
Pyridoxine,Cc1ncc(CO)c(CO)c1O,1.922,2.701,0.779
Acetylisoniazide,CC(=O)NNC(=O)c1ccncc1,1.948,2.953,1.005
Isoniazide,NNC(=O)c1ccncc1,2.005,2.579,0.574
Methamidophos,COP(N)(=O)SC,2.527,3.189,0.662
Deoxyguanosine,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1,2.563,2.707,0.144
Piracetam,NC(=O)CN1CCCC1=O,2.594,1.973,0.621
Sulfaguanidine,N=C(N)NS(=O)(=O)c1ccc(N)cc1,2.67,2.974,0.304
Isoprenaline,CC(C)NC[C@@H](O)c1ccc(O)c(O)c1,2.696,3.408,0.712
Aciclovir,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,2.741,2.476,0.265
Propylene thiourea,CC1CNC(=S)N1,2.751,1.336,1.415
Morphine-6-glucuronide,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C=C[C@H]3[C@H]1C5,2.775,2.254,0.521
Etilefrine,CCNCC(O)c1cccc(O)c1,2.832,2.89,0.058
Tenofovir,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O,2.884,2.655,0.229
Heptaminol,CC(N)CCCC(C)(C)O,2.927,2.717,0.21
Normorphine,Oc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)NCC[C@@]341,2.929,2.853,0.076
Pyrazinamide,NC(=O)c1cnccn1,2.949,1.871,1.078
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,2.954,1.443,1.511
Tazobactam,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,3.006,3.391,0.385
Acephate,COP(=O)(NC(C)=O)SC,3.058,3.415,0.357
Dihydralazine,N/N=c1\[nH][nH]/c(=N\N)c2ccccc12,3.059,2.948,0.111
Betahistine,CNCCc1ccccn1,3.072,2.989,0.083
Cefadroxil,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,3.076,3.054,0.022
Paracetamol,CC(=O)Nc1ccc(O)cc1,3.1,3.056,0.044
Phenylbiguanide,N=C(N)NC(=N)Nc1ccccc1,3.121,3.481,0.36
Crotaline,C[C@H]1C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@](C)(O)[C@]1(C)O)[C@H]23,3.158,4.613,1.455
Folinic acid,Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2,3.162,4.083,0.921
"Amino-4-chloro-6-benzene-1,3-disulfonamide",Nc1cc(Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O,3.173,3.494,0.321
Aztreonam,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc([NH3+])n2)C(=O)N1S(=O)(=O)[O-],3.197,3.816,0.619
Psilocybine,CN(C)CCc1c[nH]c2cccc(OP(=O)(O)O)c12,3.199,4.71,1.511
Pregabalin,CC(C)C[C@H](CN)CC(=O)O,3.203,2.155,1.048
Salbutamol,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,3.21,3.53,0.32
Terbutaline,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,3.22,3.683,0.463
Pirbuterol,CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,3.221,3.693,0.472
Acetazolamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1,3.222,2.354,0.868
Trimethylaniline,Cc1ccc(N)c(C)c1C,3.242,4.396,1.154
Lamivudine,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,3.247,2.968,0.279
6-chloronicotinic acid,O=C(O)c1ccc(Cl)nc1,3.249,3.562,0.313
Norephedrine,CCC(N)(O)c1ccccc1,3.254,3.62,0.366
Sotalol,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,3.255,3.03,0.225
Salicylic acid,O=C(O)c1ccccc1O,3.273,3.086,0.187
Norpseudoephedrine,C[C@@H](N)[C@H](O)c1ccccc1,3.275,2.857,0.418
Morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,3.282,3.239,0.043
Atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,3.291,4.078,0.787
