Compound Name,SMILES,RT (min)
Putrescine,NCCCCN,0.779
Glyphosate,O=C(O)CNCP(=O)(O)O,0.784
Taurine,NCCS(=O)(=O)O,0.789
Atrazine-desethyldesisopropyl-2-hydroxy,Nc1nc(N)nc(O)n1,0.846
Morpholin,C1COCCN1,0.858
Cytosine,Nc1ccnc(=O)[nH]1,0.891
Carnitine,C[N+](C)(C)CC(O)CC(=O)[O-],0.931
Vigabatrin,C=CC(N)CCC(=O)O,0.95
Levodopa,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,0.962
Pyrazinoic acid,O=C(O)c1cnccn1,1.025
Ribavirine,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,1.037
GHB,O=C(O)CCCO,1.111
Flucytosine,Nc1nc(O)ncc1F,1.114
Dimethyldithiophosphate (DMDTP),COP(=S)(S)OC,1.119
Metformin,CN(C)C(=N)NC(=N)N,1.192
Dopamine,NCCc1ccc(O)c(O)c1,1.226
Trans trans muconic acid,O=C(O)/C=C/C=C/C(=O)O,1.233
Uridine,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,1.263
Nicotinic acid,O=C(O)c1cccnc1,1.34
Allopurinol,O=c1nc[nH]c2[nH]ncc12,1.472
5-fluorouridine,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1F,1.523
Ethylene-thiouree,S=C1NCCN1,1.59
Daminozide,CN(C)NC(=O)CCC(=O)O,1.591
Sulbactam,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,1.75
Hydroxytryptophan,O=C(O)C(Cc1c[nH]c2ccccc12)NO,1.758
Ecgonine methylester,COC(=O)[C@@H]1C2CCC(C[C@@H]1O)N2C,1.798
Amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,1.837
5-Chlorouracil,O=c1[nH]cc(Cl)c(=O)[nH]1,1.872
Ganciclovir,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,1.904
Pyridoxine,Cc1ncc(CO)c(CO)c1O,1.922
Acetylisoniazide,CC(=O)NNC(=O)c1ccncc1,1.948
Isoniazide,NNC(=O)c1ccncc1,2.005
Methamidophos,COP(N)(=O)SC,2.527
Deoxyguanosine,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1,2.563
Piracetam,NC(=O)CN1CCCC1=O,2.594
Sulfaguanidine,N=C(N)NS(=O)(=O)c1ccc(N)cc1,2.67
Isoprenaline,CC(C)NC[C@@H](O)c1ccc(O)c(O)c1,2.696
Aciclovir,Nc1nc2c(ncn2COCCO)c(=O)[nH]1,2.741
Propylene thiourea,CC1CNC(=S)N1,2.751
Morphine-6-glucuronide,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C=C[C@H]3[C@H]1C5,2.775
Etilefrine,CCNCC(O)c1cccc(O)c1,2.832
Tenofovir,C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O,2.884
Heptaminol,CC(N)CCCC(C)(C)O,2.927
Normorphine,Oc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)NCC[C@@]341,2.929
Pyrazinamide,NC(=O)c1cnccn1,2.949
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,2.954
Tazobactam,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,3.006
Acephate,COP(=O)(NC(C)=O)SC,3.058
Dihydralazine,N/N=c1\[nH][nH]/c(=N\N)c2ccccc12,3.059
Betahistine,CNCCc1ccccn1,3.072
Cefadroxil,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,3.076
Paracetamol,CC(=O)Nc1ccc(O)cc1,3.1
Phenylbiguanide,N=C(N)NC(=N)Nc1ccccc1,3.121
Crotaline,C[C@H]1C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@](C)(O)[C@]1(C)O)[C@H]23,3.158
Folinic acid,Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2,3.162
"Amino-4-chloro-6-benzene-1,3-disulfonamide",Nc1cc(Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O,3.173
Aztreonam,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc([NH3+])n2)C(=O)N1S(=O)(=O)[O-],3.197
Psilocybine,CN(C)CCc1c[nH]c2cccc(OP(=O)(O)O)c12,3.199
Pregabalin,CC(C)C[C@H](CN)CC(=O)O,3.203
Salbutamol,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,3.21
Terbutaline,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,3.22
Pirbuterol,CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,3.221
Acetazolamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1,3.222
Trimethylaniline,Cc1ccc(N)c(C)c1C,3.242
Lamivudine,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,3.247
6-chloronicotinic acid,O=C(O)c1ccc(Cl)nc1,3.249
Norephedrine,CCC(N)(O)c1ccccc1,3.254
Sotalol,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,3.255
Salicylic acid,O=C(O)c1ccccc1O,3.273
Norpseudoephedrine,C[C@@H](N)[C@H](O)c1ccccc1,3.275
Morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,3.282
Atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,3.291
Methomyl-oxime,CONC(C)=S,3.326
Anhydroecgonine methyl ester,COC(=O)C1=CC[C@@H]2CC[C@H]1N2C,3.342
Famotidine,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,3.354
Procarbazine,CNNCc1ccc(C(=O)NC(C)C)cc1,3.355
L-abrine,CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,3.357
Procainamide,CCN(CC)CCNC(=O)c1ccc(N)cc1,3.362
Propamocarb,CCCOC(=O)NCCCN(C)C,3.373
Hydrochlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,3.374
Amiloride,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,3.379
Gabapentine,NCC1(CC(=O)O)CCCCC1,3.382
Cimetidine,C/N=C(\NC#N)NCCSCc1nc[nH]c1C,3.383
3-acetamidophenol,CC(=O)Nc1cccc(O)c1,3.385
Omethoate,CNC(=O)CSP(=O)(OC)OC,3.395
Cefepime,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,3.395
Didanosine,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,3.396
Emtricitabine,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,3.401
Hydromorphone,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,3.439
1-Methyl-3-phenylpiperazine,CN1CCNC(c2ccccc2)C1,3.444
Psilocine,CN(C)CCc1c[nH]c2cccc(O)c12,3.446
Ephedrine,CN[C@@H](C)[C@H](O)c1ccccc1,3.448
Bamethan,CCCCNCC(O)c1ccc(O)cc1,3.459
Sulpiride,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,3.466
Pilocarpine,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,3.473
Cathinone,C[C@H](N)C(=O)c1ccccc1,3.479
Cefatrizine,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3cn[nH]n3)CSC12)c1ccc(O)cc1,3.482
Fenoterol,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,3.488
Dacarbazine,CN(C)/N=N/c1[nH]cnc1C(N)=O,3.489
Ceftizoxime,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,3.49
Thiocyclam,CN(C)C1CSSSC1,3.493
Dinotefuran,CNC(=N[N+](=O)[O-])NCC1CCOC1,3.494
Baclofene,NCC(CC(=O)O)c1ccc(Cl)cc1,3.494
Aniline,Nc1ccccc1,3.505
Pholcodine,CN1CC[C@]23c4c5ccc(OCCN6CCOCC6)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,3.521
Pseudoephedrine,CN[C@@H](C)[C@@H](O)c1ccccc1,3.523
Ritodrine,C[C@H](NCCc1ccc(O)cc1)[C@H](O)c1ccc(O)cc1,3.525
Cefotetan,CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,3.529
Asulam,COC(=O)NS(=O)(=O)c1ccc(N)cc1,3.534
Cefotiam,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,3.535
Aldicarb-sulfoxide,CNC(=O)O/N=C/C(C)(C)S(C)=O,3.537
Cefpodoxime,COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,3.547
Hydroflumethiazide,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,3.553
Mescaline,COc1cc(CCN)cc(OC)c1OC,3.554
Cefixime,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1,3.556
